Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size,freeze_qty,Board Lot Qty
MCX,mcx_fo,GOLD,454821,OPTFUT,CE,95500,GOLD,GOLD24MAR26C95500,GOLD 24th MAR 95500 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454822,OPTFUT,PE,95500,GOLD,GOLD24MAR26P95500,GOLD 24th MAR 95500 PE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454923,OPTFUT,CE,95400,GOLD,GOLD24MAR26C95400,GOLD 24th MAR 95400 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454924,OPTFUT,CE,95300,GOLD,GOLD24MAR26C95300,GOLD 24th MAR 95300 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454925,OPTFUT,CE,95200,GOLD,GOLD24MAR26C95200,GOLD 24th MAR 95200 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454926,OPTFUT,CE,95100,GOLD,GOLD24MAR26C95100,GOLD 24th MAR 95100 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454927,OPTFUT,CE,95000,GOLD,GOLD24MAR26C95000,GOLD 24th MAR 95000 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454928,OPTFUT,CE,94900,GOLD,GOLD24MAR26C94900,GOLD 24th MAR 94900 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454929,OPTFUT,CE,94800,GOLD,GOLD24MAR26C94800,GOLD 24th MAR 94800 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454930,OPTFUT,CE,94700,GOLD,GOLD24MAR26C94700,GOLD 24th MAR 94700 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454931,OPTFUT,CE,94600,GOLD,GOLD24MAR26C94600,GOLD 24th MAR 94600 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454932,OPTFUT,CE,94500,GOLD,GOLD24MAR26C94500,GOLD 24th MAR 94500 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454933,OPTFUT,CE,94400,GOLD,GOLD24MAR26C94400,GOLD 24th MAR 94400 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454934,OPTFUT,CE,94300,GOLD,GOLD24MAR26C94300,GOLD 24th MAR 94300 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454935,OPTFUT,CE,94200,GOLD,GOLD24MAR26C94200,GOLD 24th MAR 94200 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454936,OPTFUT,CE,94100,GOLD,GOLD24MAR26C94100,GOLD 24th MAR 94100 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454937,OPTFUT,CE,94000,GOLD,GOLD24MAR26C94000,GOLD 24th MAR 94000 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454938,OPTFUT,CE,93900,GOLD,GOLD24MAR26C93900,GOLD 24th MAR 93900 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454939,OPTFUT,CE,93800,GOLD,GOLD24MAR26C93800,GOLD 24th MAR 93800 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454940,OPTFUT,CE,93700,GOLD,GOLD24MAR26C93700,GOLD 24th MAR 93700 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454941,OPTFUT,CE,93600,GOLD,GOLD24MAR26C93600,GOLD 24th MAR 93600 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454942,OPTFUT,CE,93500,GOLD,GOLD24MAR26C93500,GOLD 24th MAR 93500 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454943,OPTFUT,CE,93400,GOLD,GOLD24MAR26C93400,GOLD 24th MAR 93400 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454944,OPTFUT,CE,93300,GOLD,GOLD24MAR26C93300,GOLD 24th MAR 93300 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454945,OPTFUT,CE,93200,GOLD,GOLD24MAR26C93200,GOLD 24th MAR 93200 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454946,OPTFUT,CE,93100,GOLD,GOLD24MAR26C93100,GOLD 24th MAR 93100 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454947,OPTFUT,CE,93000,GOLD,GOLD24MAR26C93000,GOLD 24th MAR 93000 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454948,OPTFUT,CE,92900,GOLD,GOLD24MAR26C92900,GOLD 24th MAR 92900 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454949,OPTFUT,CE,92800,GOLD,GOLD24MAR26C92800,GOLD 24th MAR 92800 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454950,OPTFUT,CE,92700,GOLD,GOLD24MAR26C92700,GOLD 24th MAR 92700 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454951,OPTFUT,CE,92600,GOLD,GOLD24MAR26C92600,GOLD 24th MAR 92600 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454952,OPTFUT,CE,92500,GOLD,GOLD24MAR26C92500,GOLD 24th MAR 92500 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454953,OPTFUT,CE,92400,GOLD,GOLD24MAR26C92400,GOLD 24th MAR 92400 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454954,OPTFUT,CE,92300,GOLD,GOLD24MAR26C92300,GOLD 24th MAR 92300 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454955,OPTFUT,CE,92200,GOLD,GOLD24MAR26C92200,GOLD 24th MAR 92200 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454956,OPTFUT,CE,92100,GOLD,GOLD24MAR26C92100,GOLD 24th MAR 92100 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454957,OPTFUT,CE,92000,GOLD,GOLD24MAR26C92000,GOLD 24th MAR 92000 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454958,OPTFUT,CE,91900,GOLD,GOLD24MAR26C91900,GOLD 24th MAR 91900 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454959,OPTFUT,CE,91800,GOLD,GOLD24MAR26C91800,GOLD 24th MAR 91800 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454960,OPTFUT,CE,91700,GOLD,GOLD24MAR26C91700,GOLD 24th MAR 91700 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454961,OPTFUT,CE,91600,GOLD,GOLD24MAR26C91600,GOLD 24th MAR 91600 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454962,OPTFUT,CE,91500,GOLD,GOLD24MAR26C91500,GOLD 24th MAR 91500 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454963,OPTFUT,CE,91400,GOLD,GOLD24MAR26C91400,GOLD 24th MAR 91400 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454964,OPTFUT,CE,91300,GOLD,GOLD24MAR26C91300,GOLD 24th MAR 91300 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454965,OPTFUT,CE,91200,GOLD,GOLD24MAR26C91200,GOLD 24th MAR 91200 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454966,OPTFUT,CE,91100,GOLD,GOLD24MAR26C91100,GOLD 24th MAR 91100 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454967,OPTFUT,CE,91000,GOLD,GOLD24MAR26C91000,GOLD 24th MAR 91000 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454968,OPTFUT,CE,90900,GOLD,GOLD24MAR26C90900,GOLD 24th MAR 90900 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454969,OPTFUT,CE,90800,GOLD,GOLD24MAR26C90800,GOLD 24th MAR 90800 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454970,OPTFUT,CE,90700,GOLD,GOLD24MAR26C90700,GOLD 24th MAR 90700 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454971,OPTFUT,CE,90600,GOLD,GOLD24MAR26C90600,GOLD 24th MAR 90600 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454972,OPTFUT,CE,90500,GOLD,GOLD24MAR26C90500,GOLD 24th MAR 90500 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454973,OPTFUT,CE,95600,GOLD,GOLD24MAR26C95600,GOLD 24th MAR 95600 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454974,OPTFUT,CE,95700,GOLD,GOLD24MAR26C95700,GOLD 24th MAR 95700 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454975,OPTFUT,CE,95800,GOLD,GOLD24MAR26C95800,GOLD 24th MAR 95800 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454976,OPTFUT,CE,95900,GOLD,GOLD24MAR26C95900,GOLD 24th MAR 95900 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454977,OPTFUT,CE,96000,GOLD,GOLD24MAR26C96000,GOLD 24th MAR 96000 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454978,OPTFUT,CE,96100,GOLD,GOLD24MAR26C96100,GOLD 24th MAR 96100 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454979,OPTFUT,CE,96200,GOLD,GOLD24MAR26C96200,GOLD 24th MAR 96200 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454980,OPTFUT,CE,96300,GOLD,GOLD24MAR26C96300,GOLD 24th MAR 96300 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454981,OPTFUT,CE,96400,GOLD,GOLD24MAR26C96400,GOLD 24th MAR 96400 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454982,OPTFUT,CE,96500,GOLD,GOLD24MAR26C96500,GOLD 24th MAR 96500 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454983,OPTFUT,CE,96600,GOLD,GOLD24MAR26C96600,GOLD 24th MAR 96600 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454984,OPTFUT,CE,96700,GOLD,GOLD24MAR26C96700,GOLD 24th MAR 96700 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454985,OPTFUT,CE,96800,GOLD,GOLD24MAR26C96800,GOLD 24th MAR 96800 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454986,OPTFUT,CE,96900,GOLD,GOLD24MAR26C96900,GOLD 24th MAR 96900 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454987,OPTFUT,CE,97000,GOLD,GOLD24MAR26C97000,GOLD 24th MAR 97000 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454988,OPTFUT,CE,97100,GOLD,GOLD24MAR26C97100,GOLD 24th MAR 97100 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454989,OPTFUT,CE,97200,GOLD,GOLD24MAR26C97200,GOLD 24th MAR 97200 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454990,OPTFUT,CE,97300,GOLD,GOLD24MAR26C97300,GOLD 24th MAR 97300 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454991,OPTFUT,CE,97400,GOLD,GOLD24MAR26C97400,GOLD 24th MAR 97400 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454992,OPTFUT,CE,97500,GOLD,GOLD24MAR26C97500,GOLD 24th MAR 97500 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454993,OPTFUT,CE,97600,GOLD,GOLD24MAR26C97600,GOLD 24th MAR 97600 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454994,OPTFUT,CE,97700,GOLD,GOLD24MAR26C97700,GOLD 24th MAR 97700 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454995,OPTFUT,CE,97800,GOLD,GOLD24MAR26C97800,GOLD 24th MAR 97800 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454996,OPTFUT,CE,97900,GOLD,GOLD24MAR26C97900,GOLD 24th MAR 97900 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454997,OPTFUT,CE,98000,GOLD,GOLD24MAR26C98000,GOLD 24th MAR 98000 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454998,OPTFUT,CE,98100,GOLD,GOLD24MAR26C98100,GOLD 24th MAR 98100 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,454999,OPTFUT,CE,98200,GOLD,GOLD24MAR26C98200,GOLD 24th MAR 98200 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,455000,OPTFUT,CE,98300,GOLD,GOLD24MAR26C98300,GOLD 24th MAR 98300 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,455001,OPTFUT,CE,98400,GOLD,GOLD24MAR26C98400,GOLD 24th MAR 98400 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,455002,OPTFUT,CE,98500,GOLD,GOLD24MAR26C98500,GOLD 24th MAR 98500 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,455003,OPTFUT,CE,98600,GOLD,GOLD24MAR26C98600,GOLD 24th MAR 98600 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,455004,OPTFUT,CE,98700,GOLD,GOLD24MAR26C98700,GOLD 24th MAR 98700 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,455005,OPTFUT,CE,98800,GOLD,GOLD24MAR26C98800,GOLD 24th MAR 98800 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,455006,OPTFUT,CE,98900,GOLD,GOLD24MAR26C98900,GOLD 24th MAR 98900 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,455007,OPTFUT,CE,99000,GOLD,GOLD24MAR26C99000,GOLD 24th MAR 99000 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,455008,OPTFUT,CE,99100,GOLD,GOLD24MAR26C99100,GOLD 24th MAR 99100 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,455009,OPTFUT,CE,99200,GOLD,GOLD24MAR26C99200,GOLD 24th MAR 99200 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,455010,OPTFUT,CE,99300,GOLD,GOLD24MAR26C99300,GOLD 24th MAR 99300 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,455011,OPTFUT,CE,99400,GOLD,GOLD24MAR26C99400,GOLD 24th MAR 99400 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,455012,OPTFUT,CE,99500,GOLD,GOLD24MAR26C99500,GOLD 24th MAR 99500 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,455013,OPTFUT,CE,99600,GOLD,GOLD24MAR26C99600,GOLD 24th MAR 99600 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,455014,OPTFUT,CE,99700,GOLD,GOLD24MAR26C99700,GOLD 24th MAR 99700 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,455015,OPTFUT,CE,99800,GOLD,GOLD24MAR26C99800,GOLD 24th MAR 99800 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,455016,OPTFUT,CE,99900,GOLD,GOLD24MAR26C99900,GOLD 24th MAR 99900 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,455017,OPTFUT,CE,100000,GOLD,GOLD24MAR26C100000,GOLD 24th MAR 100000 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,455018,OPTFUT,CE,100100,GOLD,GOLD24MAR26C100100,GOLD 24th MAR 100100 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,455019,OPTFUT,CE,100200,GOLD,GOLD24MAR26C100200,GOLD 24th MAR 100200 CE,2026-03-24,1,0.5,0.0,1
MCX,mcx_fo,GOLD,455020,OPTFUT,CE,100300,GOLD,GOLD24MAR26C100300,GOLD 24th MAR 100300 CE,2026-03-24,1,0.5,0.0,1
